Year, Number of Storms, Total SEPI 
1921, 5, 26.993707 
1922, 9, 36.951732 
1923, 12, 48.118707 
1924, 15, 84.370925 
1925, 13, 33.663651 
1926, 12, 84.522449 
1927, 14, 74.009437 
1928, 15, 28.030340 
1929, 24, 94.361669 
1930, 15, 51.185714 
1931, 11, 100.092022 
1932, 27, 145.693820 
1933, 19, 163.470940 
1934, 11, 56.994061 
1935, 9, 48.873795 
1936, 16, 44.042114 
1937, 19, 62.413100 
1938, 16, 40.359779 
1939, 17, 68.376890 
1940, 15, 92.838300 
1941, 10, 38.838238 
1942, 16, 64.157660 
1943, 12, 31.193504 
1944, 17, 95.697018 
1945, 8, 112.890532 
1946, 11, 31.259818 
1947, 22, 111.898812 
1948, 10, 82.068069 
1949, 8, 29.393698 
1950, 26, 144.272905 
1951, 25, 75.409512 
1952, 17, 92.887029 
1953, 26, 104.689704 
1954, 25, 68.916034 
1955, 25, 107.347317 
1956, 18, 110.498694 
1957, 13, 42.058772 
1958, 26, 249.045148 
1959, 15, 80.979275 
1960, 15, 76.750640 
1961, 23, 158.088362 
1962, 19, 120.415869 
1963, 29, 94.199619 
1964, 14, 69.857478 
1965, 17, 25.427071 
1966, 17, 77.023241 
1967, 21, 117.449928 
1968, 16, 78.076565 
1969, 16, 131.810548 
1970, 27, 72.246268 
1971, 17, 55.271140 
1972, 26, 154.986101 
1973, 18, 106.299184 
1974, 15, 48.692028 
1975, 11, 31.839761 
1976, 20, 41.851808 
1977, 24, 127.501043 
1978, 19, 141.213364 
1979, 8, 146.032101 
1980, 13, 44.960091 
1981, 14, 78.084170 
1982, 26, 86.907362 
1983, 32, 78.799443 
1984, 16, 82.883373 
1985, 16, 54.182261 
1986, 15, 49.525888 
1987, 21, 82.644367 
1988, 17, 46.499045 
1989, 14, 21.958720 
1990, 16, 60.273167 
1991, 15, 140.906377 
1992, 13, 118.601588 
1993, 26, 100.008046 
1994, 10, 73.376927 
1995, 13, 59.624024 
1996, 21, 107.146706 
1997, 14, 76.927621 
1998, 16, 108.307101 
1999, 10, 27.350138 
2000, 14, 61.860760 
2001, 9, 87.653191 
2002, 15, 60.683528 
2003, 20, 101.515725 
2004, 16, 64.523173 
2005, 24, 158.478354 
2006, 13, 69.981032 
2007, 19, 127.638807 
2008, 21, 63.239630 
2009, 13, 51.072931 
2010, 23, 165.235394 
2011, 18, 50.129218 
2012, 15, 130.137867 
2013, 11, 123.483371 
2014, 12, 87.131440 
2015, 11, 57.193550 
2016, 8, 57.250376 
2017, 21, 81.682529 
2018, 21, 245.962387 
2019, 20, 78.685933 
2020, 18, 80.501066 
2021, 14, 116.641737 
2022, 12, 58.697467 
